person,personid,party_id,party
R. Mas Sewaka,Q12507530,Q12503307,Great Indonesia Party
Ukar Bratakusumah,Q17410446,Q1965221,Indonesian National Party (PNI)
Moekarto Notowidigdo,Q12498729,Q1965221,Indonesian National Party (PNI)
Soemanang,Q19748424,Q1965221,Indonesian National Party (PNI)
Oemar Said Tjokroaminoto,Q2603591,Q4200848,Indonesian Sarikat Islam Party
Johnny Sitohang,Q17410631,Q1536552,Golkar Party
Bobby Nasution,Q54200649,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Bobby Nasution,Q54200649,F1,Independent
Halida Hatta,Q12485129,Q4261459,Gerindra Party
Paundrakarna,Q12503831,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Melani Leimena Suharli,Q60330208,Q1186227,Democratic Party (PD)
Sayuti Melik,Q7429323,Q1536552,Golkar Party
Nelly Adam Malik,Q12500336,Q1536552,Golkar Party
Hashim Djojohadikusumo,Q12485398,Q4261459,Gerindra Party
Amelia Achmad Yani,Q19751265,Q6974869,National People's Concern Party
Amelia Achmad Yani,Q19751265,Q4262041,Hanura Party
Boy Sadikin,Q31173523,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Iwan Sulandjana,Q16184069,Q1186227,Democratic Party (PD)
Rudolf Pardede,Q12508997,Q4261459,Gerindra Party
Likas Tarigan,Q19728450,Q1536552,Golkar Party
Diaz Hendropriyono,Q20278383,Q13405290,Justice and Unity Party (PKP)
Fuad Amin Imron,Q19943268,Q4261459,Gerindra Party
Virnie Ismail,Q11317184,Q2434365,National Mandate Party (PAN)
Wahidin Halim,Q17411648,Q4207219,NasDem Party
Abdul Syukur,Q109433339,Q1536552,Golkar Party
Abdul Syukur,Q109433339,Q1186227,Democratic Party (PD)
Hanna Gayatri,Q96989463,Q2434365,National Mandate Party (PAN)
Iskandar (politikus),Q120260356,Q2434365,National Mandate Party (PAN)
Achmad Hafisz Tohir,Q96989460,Q2434365,National Mandate Party (PAN)
Moreno Soeprapto,Q1279930,Q4261459,Gerindra Party
Pramono Edhie Wibowo,Q7238276,Q1186227,Democratic Party (PD)
Hartanto Edhie Wibowo,Q12485356,Q1186227,Democratic Party (PD)
Indrata Nur Bayuaji,Q109430785,Q1186227,Democratic Party (PD)
Nazarudin Kiemas,Q17410844,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Dave Laksono,Q120202073,Q1536552,Golkar Party
Andi Rizal Mallarangeng,Q7339075,Q1536552,Golkar Party
Andika Pandu Puragabaya,Q85988763,Q4261459,Gerindra Party
Ardhya Pratiwi Setiowati,Q96987556,Q4261459,Gerindra Party
Arumi Bachsin,Q12472561,Q1186227,Democratic Party (PD)
Emil Dardak,Q21828089,Q1186227,Democratic Party (PD)
Ben Mboi,Q12475663,Q1536552,Golkar Party
Nurhayati Effendi,Q96989175,Q2669302,United Development Party (PPP)
Inggrid Kansil,Q16187552,Q1186227,Democratic Party (PD)
Zainudin Hasan,Q25466566,Q2434365,National Mandate Party (PAN)
Helmi Hasan,Q25466119,Q2434365,National Mandate Party (PAN)
Zita Anjani,Q31173248,Q2434365,National Mandate Party (PAN)
Abdurrahman Shihab,Q55766298,Q2579297,Masyumi Party
Nina Agustina,Q106878555,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Poempida Hidayatulloh,Q12505908,Q1536552,Golkar Party
Fahira Idris,Q12482713,F1,Independent
Sudarsono Mangoenadikoesoemo,Q25471319,Q204699,Indonesian Socialist Party (PSI)
Ipuk Fiestiandani,Q109438116,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Ravindra Airlangga,Q115049138,Q1536552,Golkar Party
M. Setyo Sularso,Q16188456,Q1511101,Justice and Prosperity Party (PKS)
Hary Tanoesoedibjo,Q12485373,Q19752495,Indonesian Unity Party
Liliana Tanoesoedibjo,Q15272197,Q19752495,Indonesian Unity Party
Jessica Tanoesoedibjo,Q72242117,Q19752495,Indonesian Unity Party
Iis Rosita Dewi,Q96987535,Q4261459,Gerindra Party
I Gusti Ngurah Jaya Negara,Q102984055,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Taufiq R. Abdullah,Q96986931,Q1257317,National Awakening Party (PKB)
Soekardi,Q105427014,Q1536552,Golkar Party
Aryo Djojohadikusumo,Q59656271,Q4261459,Gerindra Party
Rahayu Saraswati,Q19731920,Q4261459,Gerindra Party
Thomas Djiwandono,Q65210174,Q4261459,Gerindra Party
Budi Djiwandono,Q65209610,Q4261459,Gerindra Party
Hanindhito Himawan Pramana,Q107564265,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Tubagus Hasanuddin,Q18421463,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
M. Yasin Limpo,Q26818531,Q1536552,Golkar Party
Ichsan Yasin Limpo,Q16182111,Q1536552,Golkar Party
Adnan Purichta Ichsan,Q65212430,Q1186227,Democratic Party (PD)
Adnan Purichta Ichsan,Q65212430,Q1536552,Golkar Party
Cholil Bisri,Q12478642,Q1257317,National Awakening Party (PKB)
Andi Sudirman Sulaiman,Q49252587,F1,Independent
Theo Syafei,Q17411512,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Thayeb Mohammad Gobel,Q12521185,Q4200848,Indonesian Sarikat Islam Party
Thayeb Mohammad Gobel,Q12521185,Q2669302,United Development Party (PPP)
Lily Wahid,Q16188244,Q1257317,National Awakening Party (PKB)
Lily Wahid,Q16188244,Q4262041,Hanura Party
Ruhut Sitompul,Q4262592,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Makiko Tanaka,Q465217,Q232595,Liberal Democratic Party (Japan)
Makiko Tanaka,Q465217,Q200314,Japanese Democratic Party
Adi Putra Darmawan Tahir,Q17410349,Q1536552,Golkar Party
Sundari Sukoco,Q4023145,Q1257317,National Awakening Party (PKB)
Soewondo (dokter),Q109564312,Q2084109,Indonesia Democratic Party (PDI)
Mas Isman,Q24284592,Q1536552,Golkar Party
Dewi Asmara,Q123337918,Q1536552,Golkar Party
Mohamad Hekal,Q109564145,Q4261459,Gerindra Party
Umar Shihab,Q56524376,Q1536552,Golkar Party
Ahmad Nizar Shihab,Q56511458,Q1186227,Democratic Party (PD)
Ridho Rahmadi,Q107061358,Q106255756,Ummah Party
