person,personid,party_id,party
Erman Soeparno,Q11066107,Q1257317,National Awakening Party (PKB)
Fahmi Idris,Q5429568,Q1536552,Golkar Party
Juwono Sudarsono,Q3107476,F1,Independent
MS Kaban,Q12495710,Q2915024,Moon and Star Party (PBB)
MS Kaban,Q12495710,Q106255756,Ummah Party
Mardiyanto,Q3502316,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Meuthia Hatta Swasono,Q11081076,Q13405290,Justice and Unity Party (PKP)
Mohammad Andi Mattalatta,Q12498756,Q1536552,Golkar Party
Mohammad Lukman Edy,Q12499367,Q1257317,National Awakening Party (PKB)
Muhammad Yusuf Asy'ari,Q12499394,Q1511101,Justice and Prosperity Party (PKS)
Rachmat Witoelar,Q7279546,F1,Independent
Saifullah Yusuf,Q12511505,Q1186306,Indonesian Democratic Party of Struggle (PDI-P)
Saifullah Yusuf,Q12511505,Q1257317,National Awakening Party (PKB)
Soegiharto,Q17411404,F1,Independent
Sofyan Djalil,Q12515797,F1,Independent
Abdul Halim Iskandar,Q72061441,Q1257317,National Awakening Party (PKB)
